insumo_codigo_origen,codigo_insumo_dw,estado,nota
INS-1001,,REVIEW,Referencia de Producción sin equivalencia DW validada
INS-1002,,REVIEW,Referencia de Producción sin equivalencia DW validada
INS-1003,,REVIEW,Referencia de Producción sin equivalencia DW validada
INS-1004,,REVIEW,Referencia de Producción sin equivalencia DW validada
INS-1006,,REVIEW,Referencia de Producción sin equivalencia DW validada
ID_LOCAL:1001,,REVIEW,Fallback de trazabilidad local
ID_LOCAL:1002,,REVIEW,Fallback de trazabilidad local
ID_LOCAL:1003,,REVIEW,Fallback de trazabilidad local
ID_LOCAL:1004,,REVIEW,Fallback de trazabilidad local
ID_LOCAL:1005,,REVIEW,Fallback de trazabilidad local
ID_LOCAL:1006,,REVIEW,Fallback de trazabilidad local
